mean_us,p50_us,p95_us,p99_us,throughput_eps,mean_candidates,divergences,seed,mode,P,engine,n
9.094164200000002,7.9,15.3,36.202,109960.62727787561,1.7257,0,2026081424,selective,200,indexed,10000
9.6027495,8.201,15.701,36.10400000000004,104136.84122448471,1.7257,0,2026081424,selective,200,incremental,10000
25.423085399999998,23.001,41.303,67.904,39334.32879079264,200.0,0,2026081425,selective,200,reference,10000
8.702218400000001,7.8,12.6,34.304000000000045,114913.22718354205,1.7257,0,2026081425,selective,200,indexed,10000
9.179290400000001,8.1,14.001,34.802,108940.88283774091,1.7257,0,2026081425,selective,200,incremental,10000
25.861153700000003,22.901,42.40205,69.80301,38668.035138741696,200.0,0,2026081426,selective,200,reference,10000
8.9501993,8.0,13.301,35.602,111729.35556865198,1.7257,0,2026081426,selective,200,indexed,10000
9.1334041,8.101,13.60005,35.802,109488.2027611151,1.7257,0,2026081426,selective,200,incremental,10000
25.5792049,22.901,43.502,72.70599000000004,39094.25660060294,200.0,0,2026081427,selective,200,reference,10000
8.9133914,7.801,13.4,35.40101000000001,112190.74257190141,1.7257,0,2026081427,selective,200,indexed,10000
9.5148411,8.201,15.501,37.40300000000002,105098.9700710819,1.7257,0,2026081427,selective,200,incremental,10000
25.922175799999998,22.802,43.602,71.90301000000001,38577.008647553426,200.0,0,2026081428,selective,200,reference,10000
8.9245595,7.801,13.8,34.60201000000002,112050.34825528362,1.7257,0,2026081428,selective,200,indexed,10000
9.546897999999999,8.2,14.201,35.60101,104746.06516168918,1.7257,0,2026081428,selective,200,incremental,10000
26.1160653,22.901,43.402,81.20600000000003,38290.60727612746,200.0,0,2026081429,selective,200,reference,10000
8.8154106,7.801,13.601,30.801009999999998,113437.71100123232,1.7257,0,2026081429,selective,200,indexed,10000
9.0424169,8.1,13.5,34.40101000000001,110589.90213114372,1.7257,0,2026081429,selective,200,incremental,10000
26.3514151,22.901,41.20694999999993,73.4070100000001,37948.626144180016,200.0,0,2026081430,selective,200,reference,10000
9.1612256,7.9,14.401,36.80399000000004,109155.70073942945,1.7257,0,2026081430,selective,200,indexed,10000
12.6445586,8.4,24.701,55.004010000000044,79085.40200050954,1.7257,0,2026081430,selective,200,incremental,10000
64.21585900000001,52.203,107.305,185.0170100000002,15572.477197572018,500.0,0,2026081401,selective,500,reference,10000
9.660897399999998,8.3,16.2,37.80300000000002,103510.05280316922,1.7257,0,2026081401,selective,500,indexed,10000
10.2623519,8.801,16.501,36.10299000000002,97443.549952716,1.7257,0,2026081401,selective,500,incremental,10000
59.0685768,51.803,94.405,145.80900000000003,16929.47509783239,500.0,0,2026081402,selective,500,reference,10000
